is_positive,mentions_money,mentions_update,review_length,thumbsUpCount,is_weekend
1,0,1,85,1,0
1,0,0,97,1,0
1,0,0,72,1,0
1,0,0,90,2,0
1,0,0,81,1,0
0,1,1,69,1,0
1,0,0,86,3,0
0,1,1,83,4,0
0,0,0,85,2,0
1,0,0,82,0,0
0,1,1,73,3,0
1,1,0,79,2,0
0,1,1,97,1,0
1,0,1,93,1,0
0,1,1,71,2,0
1,1,1,87,0,0
1,0,1,82,1,0
1,0,1,86,0,0
0,1,1,67,5,0
0,0,0,78,4,0
0,1,1,89,2,0
1,0,0,77,3,0
0,0,1,85,2,0
0,1,1,82,0,0
1,1,1,64,0,0
0,1,1,85,3,0
1,0,1,63,33,0
0,0,0,90,4,0
0,0,1,77,0,0
0,0,1,89,101,0
0,1,1,86,4,0
0,1,1,94,2,0
0,1,1,89,2,0
1,0,1,75,1,0
0,0,1,67,2,0
0,1,1,96,4,0
1,0,0,101,2,0
0,0,0,78,3,0
1,0,0,86,1,0
0,0,0,74,4,0
0,1,1,91,4,0
0,0,1,83,0,0
1,0,1,85,1,0
1,0,0,90,1,0
0,0,1,76,3,0
0,0,1,89,1,0
0,0,1,58,0,0
0,0,0,59,44,0
1,0,0,80,0,0
1,0,0,87,0,0
0,1,1,72,0,0
0,1,1,93,0,0
0,1,0,87,0,0
0,1,1,85,0,0
0,1,1,86,137,0
0,0,1,71,0,0
1,0,1,92,2,0
1,0,1,88,62,0
0,1,1,84,1,0
0,0,0,90,1,0
0,0,0,67,0,0
0,0,1,60,0,0
0,0,1,65,0,0
0,1,1,83,2,0
0,0,1,86,1,0
0,1,1,83,0,0
0,1,1,85,2,0
0,0,0,78,0,0
1,0,1,86,0,0
0,1,0,86,2,0
1,1,0,65,1,0
1,0,1,69,2,0
0,0,1,64,0,0
1,0,1,85,0,0
1,0,0,64,2,0
0,0,1,85,1,0
0,0,1,70,0,0
1,0,0,82,0,0
0,1,0,89,0,0
1,1,1,94,0,0
0,0,1,61,0,0
0,1,1,85,3,0
0,0,1,89,14,0
0,0,1,90,2,0
0,1,1,85,0,0
0,1,1,67,0,0
0,0,0,71,2,0
1,0,0,86,3,0
1,1,1,72,2,0
0,1,0,57,2,0
1,0,0,87,0,0
1,0,1,87,1,0
0,1,1,73,1,0
1,0,0,72,1,0
1,0,0,94,2,0
0,1,1,87,1,0
1,0,0,83,0,0
0,0,1,80,1,0
0,1,1,78,8,0
0,0,1,94,1,0
0,1,1,65,22,0
1,1,1,58,0,0
0,1,0,68,0,0
0,1,1,98,2,0
0,0,1,92,4,0
0,1,1,64,1,0
0,1,0,73,0,0
1,0,1,76,4,0
0,1,0,50,0,0
1,0,0,83,1,0
1,1,1,55,0,0
0,1,1,87,0,0
0,1,1,82,14,0
0,1,1,87,17,0
0,1,1,71,0,0
1,1,0,94,1,0
0,1,0,59,1,0
0,1,1,89,1,0
0,1,0,83,0,0
0,0,1,94,1,0
0,0,0,90,2,0
1,0,0,54,0,0
0,1,0,64,0,0
1,0,0,92,4,0
0,1,1,83,7,0
0,1,0,84,58,0
0,1,1,82,1,0
0,0,1,82,203,0
0,1,1,99,552,0
1,1,0,87,3150,0
0,1,0,74,136,0
0,1,1,67,141,0
0,1,1,86,154,0
1,1,1,90,328,0
1,1,0,74,2796,0
0,1,1,84,174,0
0,0,1,67,241,0
0,0,1,94,19,0
0,0,0,94,157,0
0,1,1,74,25,0
0,0,1,87,119,0
0,1,1,87,116,0
1,1,1,79,2354,0
0,1,0,68,199,0
0,1,1,90,205,0
1,1,1,62,291,0
0,1,1,88,37,0
0,1,0,76,132,0
1,0,1,64,250,0
1,0,1,93,299,0
1,0,0,76,69,0
1,1,0,57,7,0
0,1,0,83,143,0
1,0,1,72,56,0
0,1,1,91,14,0
0,1,0,85,110,0
0,1,1,46,76,0
0,0,1,55,39,0
0,1,1,92,42,0
0,1,0,56,28,0
0,1,0,78,160,0
1,1,1,84,57,0
0,1,1,53,35,0
0,0,0,99,33,0
0,0,1,67,60,0
0,1,1,85,20,0
1,0,0,78,194,0
0,0,0,62,67,0
1,0,0,63,22,0
1,1,0,75,188,0
1,0,1,87,17,0
1,0,0,95,26,0
1,0,0,68,221,0
1,0,1,71,15,0
1,0,0,71,258,0
1,0,1,51,18,0
1,0,0,94,3,0
0,1,1,92,714,0
0,0,1,87,305,0
0,0,1,84,215,0
0,1,0,86,272,0
1,0,0,65,9768,0
0,1,0,91,486,0
0,1,1,88,816,0
0,1,1,85,240,0
0,1,1,91,76,0
1,1,1,82,3067,0
1,1,0,76,3,0
0,0,1,73,42,0
1,1,0,49,16,0
0,1,1,99,121,0
0,1,0,95,159,0
1,0,1,62,579,0
0,1,1,92,51,0
0,0,1,73,138,0
0,1,1,86,214,0
0,0,1,72,71,0
0,1,0,79,175,0
0,1,1,94,42,0
0,0,0,79,88,0
0,1,1,90,78,0
0,0,1,84,65,0
0,1,1,73,128,0
1,0,1,92,372,0
0,0,1,77,187,0
1,0,1,81,1394,0
0,1,1,69,99,0
1,0,0,67,779,0
0,0,1,85,49,0
0,1,0,83,79,0
0,1,1,94,18,0
0,0,0,88,30,0
1,1,1,84,765,0
1,1,1,94,183,0
0,0,0,56,46,0
0,0,1,99,14,0
0,0,1,85,14,0
1,0,1,76,82,0
0,1,1,96,31,0
0,1,1,49,42,0
1,0,0,67,101,0
1,0,0,60,33,0
1,1,0,94,37,0
0,1,1,72,21,0
0,1,1,65,51,0
1,1,0,82,36,0
1,0,0,94,77,0
0,0,0,97,19,0
1,0,0,90,21,0
1,0,0,59,22,0
1,0,1,82,10,0
1,0,0,65,7,0
1,0,0,59,5,0
0,1,1,93,263,0
1,0,0,75,9,0
1,0,0,88,20,0
1,0,1,62,13,0
1,0,1,81,19,0
1,0,1,69,14,0
0,1,1,98,179,0
1,1,0,50,6,0
0,1,1,103,23,0
1,0,1,100,6,0
0,0,1,83,53,0
1,0,0,69,124,0
0,0,1,85,63,0
0,0,1,88,152,0
0,0,1,86,102,0
0,1,1,74,171,0
1,0,1,87,56,0
1,0,0,90,8425,0
0,0,1,93,14,0
1,0,0,94,1310,0
0,0,0,73,27,0
0,0,1,84,34,0
0,1,0,72,62,0
0,0,1,72,67,0
1,0,0,92,20,0
0,1,1,77,25,0
0,1,1,79,12,0
0,1,0,53,22,0
1,0,1,98,4,0
0,1,1,82,34,0
0,0,1,61,11,0
0,0,0,90,8,0
0,0,1,76,16,0
1,1,1,83,21,0
0,1,1,103,14,0
1,0,1,92,13,0
1,0,0,101,30,0
1,0,1,94,43,0
0,0,1,52,22,0
1,0,1,62,11,0
1,0,1,85,20,0
1,1,1,42,4,0
1,0,1,84,18,0
1,0,0,87,1,0
1,0,0,65,2,0
1,0,0,89,9,0
1,0,0,56,1,0
1,0,1,87,4,0
1,0,1,68,14,0
1,0,0,91,982,0
1,1,1,83,1,0
1,0,0,81,190,0
1,0,1,67,2,0
0,0,1,86,5,0
0,1,1,83,3,0
1,1,0,73,21,0
0,0,0,83,2,0
0,1,0,80,1,0
0,1,1,84,3,0
0,1,1,97,2,0
1,0,1,82,2,0
1,1,0,70,23,0
1,0,0,89,4,0
1,0,1,63,2,0
0,0,1,73,5,0
1,0,0,84,16,0
1,1,1,68,22,0
0,0,1,82,6,0
0,1,0,90,8,0
0,1,1,85,6,0
0,1,0,93,8,0
0,1,0,91,8,0
0,1,1,90,1,0
1,0,1,60,0,0
0,1,0,77,3,0
1,1,0,90,0,0
0,1,0,93,3,0
1,0,0,71,0,0
0,1,1,64,0,0
1,1,1,86,0,0
1,0,0,94,1,0
0,0,1,86,2,0
0,0,1,82,2,0
1,0,1,84,8,0
1,1,0,94,1,0
0,1,1,82,7,0
0,1,0,71,5,0
0,0,1,73,4,0
0,1,1,91,6,0
0,0,1,75,1,0
1,1,0,100,1,0
0,1,0,95,3,0
0,0,1,87,0,0
0,1,1,69,3,0
1,1,0,82,0,0
0,0,1,71,0,0
0,1,1,63,3,0
0,0,1,92,12,0
1,0,0,79,1,0
0,1,0,89,2,0
1,0,1,68,0,0
0,0,0,105,1,0
0,0,0,70,4,0
1,0,0,95,1,0
0,0,1,84,4,0
1,1,1,62,0,0
0,1,1,87,4,0
1,1,0,78,5,0
0,1,1,86,4,0
1,0,0,66,3,0
1,0,1,85,0,0
0,0,1,80,0,0
1,0,0,79,1,0
0,1,1,82,2,0
0,1,1,87,0,0
0,1,1,56,0,0
1,0,0,75,0,0
0,0,0,86,2,0
0,1,1,63,0,0
1,0,0,78,0,0
1,0,0,74,1,0
0,0,1,83,4,0
0,1,1,75,0,0
1,1,0,80,1,0
0,0,1,80,0,0
0,0,0,65,1,0
0,1,1,67,0,0
0,1,1,96,0,0
1,0,1,77,0,0
0,0,1,99,1,0
0,1,1,53,1,0
0,0,0,79,0,0
1,1,0,92,14,0
0,1,1,76,6,0
0,1,1,69,5,0
1,0,1,92,0,0
0,1,0,81,13,0
1,1,1,59,1,0
0,1,1,87,3,0
1,0,0,76,0,0
1,0,0,70,4,0
0,1,1,85,3,0
0,1,1,86,1,0
1,0,1,74,0,0
1,0,1,56,1,0
1,0,1,63,0,0
0,0,1,86,21,0
0,0,1,84,0,0
0,1,1,94,110,0
0,1,1,78,3,0
0,0,1,63,0,0
0,1,1,85,4,0
0,0,0,97,1,0
1,0,0,87,0,0
0,1,1,90,4,0
0,1,1,64,4,0
0,1,1,87,1,0
0,1,0,78,0,0
1,0,0,74,0,0
0,1,0,92,0,0
0,1,1,87,0,0
1,0,0,60,4,0
0,1,1,70,0,0
0,1,1,97,5,0
0,0,0,78,0,0
0,0,1,84,2,0
0,0,1,95,20,0
1,0,0,68,9,0
0,1,1,79,0,0
0,0,0,73,0,0
1,0,0,74,1,0
0,1,1,95,9,0
0,0,1,73,0,0
0,0,1,84,2,0
0,0,0,100,0,0
1,0,1,92,6,0
0,1,1,51,1,0
1,0,0,67,0,0
1,0,1,73,0,0
0,1,0,87,0,0
0,1,1,81,4,0
0,1,1,88,2,0
0,1,1,79,1,0
0,0,0,71,0,0
0,1,1,92,8,0
0,1,0,88,0,0
0,1,0,77,0,0
0,1,0,68,3,0
1,0,1,78,21,0
1,0,1,63,1,0
0,1,1,81,72,0
1,1,0,54,1,0
0,0,0,64,2,0
1,0,1,58,0,0
0,1,1,87,0,0
0,1,1,50,3,0
0,0,1,82,0,0
1,1,1,85,68,0
0,0,1,97,1,0
0,0,1,77,0,0
1,0,1,86,0,0
0,0,0,85,0,0
0,1,1,56,2,0
0,1,0,79,2,0
0,0,1,62,3,0
0,0,1,68,4,0
0,1,0,83,2,0
1,0,0,79,0,0
0,1,1,62,6,0
0,1,0,67,0,0
1,0,1,64,0,0
0,0,1,87,1,0
1,1,1,78,1,0
1,1,1,92,0,0
1,0,0,66,0,0
0,1,1,93,49,0
0,1,1,77,5,0
1,0,0,85,0,0
1,0,0,56,0,0
0,0,1,82,6,0
1,1,0,84,0,0
0,1,0,91,1,0
0,1,0,87,1,0
0,1,1,94,5,0
1,0,1,99,3,0
0,1,0,75,29,0
1,1,1,58,0,0
0,0,0,80,5,0
0,1,1,97,1,0
1,0,0,64,0,0
1,0,1,65,0,0
1,0,1,68,4,0
0,0,1,63,3,0
0,1,0,77,3,0
1,0,1,61,1,0
0,0,1,88,116,0
0,0,0,79,1,0
1,0,0,77,0,0
0,1,1,91,0,0
0,1,1,77,3,0
0,1,1,83,5,0
0,1,1,95,10,0
1,0,1,59,2,0
0,1,1,66,6,0
0,1,1,88,0,0
1,0,0,90,0,0
0,0,0,54,0,0
1,0,1,61,11,0
0,1,1,86,13,0
0,0,0,50,2,0
1,1,1,84,0,0
0,1,1,79,9,0
0,0,0,89,1,0
0,1,1,93,0,0
0,1,1,92,6,0
1,0,1,89,0,0
1,0,1,98,0,0
0,1,1,75,2,0
1,1,1,88,1,0
0,1,0,79,1,0
0,0,1,78,3,0
1,1,1,81,0,0
1,1,1,83,1,0
1,0,0,54,0,0
0,1,1,86,1,0
0,0,1,90,2,0
0,0,0,58,2,0
0,0,0,62,11,0
0,1,1,92,5,0
0,1,1,60,1,0
0,0,1,58,0,0
0,1,1,91,137,0
1,1,0,89,1,0
0,1,0,83,1,0
0,0,0,52,1,0
0,1,1,79,1,0
0,1,0,91,37,0
0,0,0,72,2,0
1,0,1,70,0,0
0,1,1,77,0,0
1,0,0,54,4,0
0,1,0,94,3,0
0,1,1,89,5,0
0,0,0,67,0,0
0,0,1,63,136,0
0,1,1,75,3,0
0,1,1,63,1,0
0,0,1,78,35,0
1,0,1,85,0,0
1,1,1,63,0,0
1,1,1,87,0,0
0,1,1,80,15,0
0,0,0,63,2,0
0,0,0,80,11,0
0,1,1,93,3,0
1,0,0,103,0,0
0,1,0,56,0,0
1,0,0,88,0,0
0,1,1,58,11,0
1,0,1,58,0,0
0,1,1,96,0,0
0,0,1,59,0,0
1,0,1,59,0,0
0,0,1,53,0,0
0,0,0,50,1,0
1,1,1,58,0,0
1,0,0,87,0,0
1,1,0,62,4,0
1,0,1,84,0,0
1,1,1,87,0,0
1,0,0,74,0,0
0,1,1,83,2,0
0,0,0,89,1,0
0,0,1,85,7,0
1,0,0,68,0,0
1,1,0,94,0,0
0,0,1,91,0,0
0,0,0,59,0,0
0,1,0,88,3,0
0,1,1,77,3,0
0,1,0,68,2,0
0,1,1,61,1,0
0,1,1,98,2,0
0,0,0,79,0,0
0,0,1,69,3,0
0,1,1,83,4,0
0,0,1,89,7,0
1,1,1,60,0,0
0,1,1,51,3,0
0,0,0,56,3,0
0,1,0,74,1,0
1,0,1,93,0,0
1,0,0,66,0,0
0,1,0,82,3,0
0,0,1,89,3,0
1,0,1,71,92,0
0,1,1,81,2,0
1,0,1,93,10,0
0,1,1,85,4,0
0,0,1,71,5,0
0,1,0,79,56,0
0,1,0,75,3,0
0,0,1,62,1,0
0,1,1,92,0,0
0,1,1,91,7,0
1,1,1,64,0,0
0,0,1,85,1,0
1,0,1,96,9,0
0,1,1,77,5,0
0,0,1,94,1,0
0,0,1,92,7,0
0,1,1,84,0,0
1,1,0,96,8,0
0,1,1,65,3,0
1,0,1,62,0,0
1,1,0,56,0,0
0,0,1,60,2,0
0,1,1,83,8,0
1,0,1,79,0,0
0,1,0,70,36,0
1,1,1,87,0,0
1,0,1,57,0,0
0,1,0,62,0,0
0,0,1,55,0,0
1,0,0,81,0,0
1,0,0,74,0,0
1,0,0,88,0,0
0,1,1,57,0,0
0,0,1,80,3,0
0,1,1,84,1,0
1,0,0,91,0,0
0,1,1,88,9,0
1,1,1,70,13,0
1,0,1,93,0,0
0,0,1,48,3,0
1,0,1,53,68,0
0,1,1,58,1,0
0,1,1,63,0,0
1,1,0,82,0,0
1,0,1,85,5,0
1,0,0,65,0,0
1,0,0,97,0,0
1,0,0,70,2,0
1,0,1,75,0,0
1,1,1,47,0,0
1,0,0,49,0,0
1,0,1,90,0,0
1,1,0,57,0,0
1,0,1,81,0,0
1,1,1,86,1,0
0,1,1,69,2,0
0,1,0,86,0,0
1,0,0,61,0,0
0,0,0,93,0,0
1,0,0,77,0,0
0,1,0,97,3,0
1,0,1,54,0,0
0,1,1,67,2,0
1,0,1,92,0,0
1,1,1,72,20,0
0,0,1,94,0,0
0,0,1,82,0,0
1,0,0,85,0,0
0,0,0,73,1,0
0,0,0,86,0,0
1,1,1,82,1,0
0,0,1,81,9,0
1,1,1,71,0,0
1,1,1,87,0,0
1,1,1,64,1,0
0,1,1,87,0,0
0,0,1,83,9,0
1,1,1,83,15,0
1,0,0,61,1,0
0,0,1,82,1,0
1,0,0,85,0,0
1,1,1,77,0,0
0,1,1,81,6,0
0,0,1,87,1,0
0,0,0,84,9,0
1,0,1,75,0,0
0,1,1,93,0,0
1,1,1,94,10,0
1,1,0,64,0,0
0,0,1,87,2,0
1,1,1,68,37,0
1,1,0,90,1,0
1,0,1,83,0,0
0,1,1,93,76,0
0,1,1,92,1,0
0,1,0,76,16,0
0,1,1,74,65,0
1,0,0,61,0,0
0,1,0,86,6,0
0,1,0,78,4,0
0,1,0,82,7,0
1,0,1,64,0,0
0,0,1,73,1,0
1,0,0,92,120,0
1,1,1,82,4,0
0,1,1,81,17,0
1,1,0,65,0,0
1,0,1,89,0,0
0,1,0,79,41,0
1,1,1,87,2,0
0,1,1,81,0,0
0,1,1,61,3,0
0,1,1,85,28,0
0,1,0,98,5,0
0,1,0,85,1,0
0,1,1,92,0,0
1,1,0,85,0,0
0,1,1,85,16,0
0,1,0,87,2,0
0,0,0,69,0,0
1,0,1,71,9,0
0,1,1,89,9,0
0,1,1,91,6,0
0,0,0,74,4,0
1,0,0,72,0,0
1,0,1,83,0,0
0,0,0,74,0,0
1,1,0,62,0,0
1,1,1,65,55,0
1,0,0,53,0,0
1,1,1,84,0,0
0,1,1,72,0,0
0,1,0,91,26,0
0,1,1,92,254,0
0,1,1,87,6,0
1,0,1,85,0,0
0,0,0,90,4,0
0,1,0,77,37,0
0,1,1,92,2,0
1,0,1,83,9,0
1,1,0,80,56,0
1,0,1,87,3,0
0,0,1,75,1,0
0,1,1,66,2,0
1,0,0,77,1,0
1,1,0,78,155,0
0,1,0,82,6,0
0,0,1,90,7,0
1,0,0,65,0,0
1,0,1,79,1,0
0,1,1,97,34,0
0,1,0,88,0,0
0,0,1,78,2,0
0,0,1,66,1,0
0,1,1,74,1,0
1,0,1,97,7,0
0,0,1,86,1,0
0,1,1,60,0,0
1,0,0,67,0,0
0,1,0,93,17,0
0,0,0,75,10,0
0,0,0,71,16,0
0,1,0,87,24,0
1,1,0,90,11,0
0,0,1,77,4,0
1,0,0,78,0,0
0,0,0,79,2,0
1,0,1,73,8,0
0,1,1,79,3,0
1,0,0,88,60,0
1,0,0,91,42,0
0,1,1,84,14,0
0,1,1,73,1,0
0,0,1,92,1,0
1,0,0,74,0,0
1,1,0,49,0,0
1,0,1,71,2,0
0,1,0,63,2,0
0,1,1,91,21,0
0,1,1,57,8,0
0,1,1,90,15,0
0,0,1,71,2,0
1,0,1,89,138,0
0,1,1,91,16,0
0,0,0,77,8,0
1,0,1,97,0,0
1,1,1,70,7,0
0,0,1,85,22,0
0,1,1,90,2,0
1,0,0,101,3,0
0,0,0,63,0,0
0,0,1,84,62,0
1,0,0,60,1,0
0,1,1,85,3,0
1,0,1,67,14,0
1,0,1,95,0,0
0,0,1,85,21,0
0,1,1,57,3,0
0,0,0,70,1,0
0,1,1,98,6,0
0,0,0,73,11,0
1,0,1,81,9,0
0,0,1,61,35,0
0,1,1,76,15,0
0,1,0,86,2,0
0,1,1,82,2,0
0,1,1,80,61,0
0,0,1,65,1,0
0,1,1,72,1,0
1,0,1,76,74,0
1,0,1,71,1314,0
0,1,0,84,1,0
0,1,0,87,2,0
0,1,0,82,15,0
1,1,1,97,1,0
1,0,0,87,0,0
0,0,0,95,7,0
0,1,0,91,13,0
1,0,1,68,7,0
0,0,0,75,1,0
0,0,0,91,1,0
0,0,0,58,1,0
0,1,1,89,25,0
1,0,1,66,2,0
0,1,0,98,16,0
0,1,1,86,65,0
1,0,0,53,0,0
0,1,1,57,1,0
0,0,1,74,15,0
1,0,0,76,3,0
0,0,1,70,29,0
1,0,0,71,8,0
1,0,1,98,0,0
1,0,1,84,0,0
1,0,1,85,0,0
1,0,0,82,0,0
0,1,0,87,4,0
1,0,1,72,496,0
0,0,0,97,0,0
1,1,0,83,0,0
0,1,1,62,5,0
0,0,1,100,0,0
0,1,1,95,10,0
1,0,0,79,685,0
0,0,1,85,19,0
1,0,1,81,733,0
1,0,1,89,3,0
1,0,1,79,0,0
0,0,1,84,0,0
0,1,1,65,5,0
0,0,0,85,0,0
0,1,1,82,22,0
0,1,0,84,11,0
0,0,1,89,0,0
0,0,1,63,30,0
1,0,0,56,0,0
0,1,1,74,2,0
0,1,1,94,22,0
0,0,1,93,35,0
0,0,1,85,10,0
0,1,0,86,17,0
1,0,0,61,10,0
0,0,1,70,7,0
1,0,1,94,2,0
0,1,1,86,12,0
1,0,1,72,0,0
0,1,0,81,14,0
0,1,1,84,0,0
0,1,1,95,56,0
0,0,0,64,16,0
1,1,1,58,0,0
1,0,0,88,271,0
0,1,1,69,2,0
0,0,1,82,3,0
0,1,1,82,46,0
0,0,1,66,3,0
0,1,1,72,4,0
0,0,1,64,14,0
1,0,1,71,11,0
0,0,1,63,1,0
1,0,1,74,15,0
0,0,1,92,2,0
1,0,0,55,0,0
0,1,1,76,1,0
0,0,0,76,1,0
0,0,1,90,6,0
1,0,0,56,0,0
0,1,1,49,1,0
0,0,1,68,9,0
1,1,0,94,0,0
1,0,0,87,1,0
1,0,1,83,0,0
1,0,0,82,0,0
1,0,0,89,0,0
0,1,1,83,12,0
0,1,1,96,15,0
0,1,0,85,7,0
1,0,1,53,0,0
1,0,0,100,1,0
1,0,0,65,0,0
1,0,0,92,0,0
0,1,0,95,14,0
0,1,1,74,13,0
0,0,0,73,1,0
0,1,0,74,2,0
1,0,1,78,0,0
1,1,0,91,3,0
1,1,1,67,34,0
1,1,0,90,0,0
0,0,1,57,1,0
0,0,1,76,11,0
1,0,1,84,27,0
0,0,0,74,7,0
1,0,1,47,0,0
1,1,1,65,7,0
0,0,1,58,4,0
1,0,1,91,0,0
1,0,0,100,0,0
1,0,1,72,415,0
0,0,1,51,2,0
0,0,0,89,0,0
0,1,1,75,29,0
1,0,1,66,14,0
0,0,0,70,9,0
0,1,1,70,18,0
1,0,0,67,0,0
1,0,0,60,0,0
0,1,0,80,1,0
0,0,1,76,2,0
0,1,1,86,12,0
1,0,1,72,0,0
0,0,1,59,0,0
1,0,0,82,1,0
1,0,0,67,0,0
0,0,0,89,2,0
0,1,1,78,1,0
0,1,1,57,1,0
1,0,1,49,0,0
0,1,1,91,58,0
0,1,1,68,97,0
0,1,1,83,115,0
1,0,0,65,0,0
0,0,1,73,1,0
0,0,1,73,3,0
1,0,0,60,0,0
0,1,1,87,10,0
1,0,0,63,0,0
0,1,1,71,4,0
1,1,1,89,0,0
0,0,1,89,18,0
0,0,0,63,1,0
1,0,0,87,0,0
0,0,1,91,99,0
0,0,0,46,2,0
1,0,0,63,2,0
0,1,0,83,9,0
0,1,1,93,1,0
1,1,0,94,0,0
0,0,0,89,0,0
1,0,0,62,0,0
0,1,1,68,11,0
0,1,1,82,25,0
0,0,1,54,0,0
1,0,0,97,0,0
0,1,1,85,10,0
0,1,1,89,5,0
0,1,1,80,18,0
0,1,1,90,7,0
1,0,1,55,3,0
0,0,1,49,0,0
0,0,0,79,3,0
1,1,1,53,0,0
0,0,1,79,8,0
0,0,0,83,4,0
0,0,0,59,1,0
1,1,0,80,0,0
1,1,1,77,0,0
1,0,1,70,0,0
1,0,1,91,5,0
0,0,1,62,13,0
0,1,1,98,2,0
1,0,0,48,0,0
1,0,1,82,32,0
1,0,1,53,0,0
1,1,0,89,2,0
0,0,0,63,0,0
0,1,1,70,12,0
1,0,0,54,0,0
0,0,0,86,0,0
0,1,1,63,2,0
0,1,0,83,1,0
1,1,1,73,135,0
0,1,1,80,37,0
1,0,1,95,0,0
0,1,1,60,1,0
1,0,1,78,0,0
0,1,1,87,6,0
0,0,1,72,3,0
0,0,1,58,4,0
0,0,0,73,4,0
0,1,0,45,1,0
0,1,0,86,0,0
1,1,0,63,0,0
0,1,0,69,3,0
0,0,1,53,2,0
1,1,0,57,0,0
1,0,1,91,4,0
1,0,0,56,1,0
0,1,0,97,13,0
1,1,0,52,0,0
1,0,1,77,1,0
0,1,1,64,0,0
0,1,1,66,2,0
0,0,0,59,10,0
1,1,0,51,0,0
1,0,0,55,0,0
0,0,0,91,1,0
1,0,1,80,0,0
0,1,0,65,0,0
1,0,0,58,1,0
0,0,1,60,2,0
1,0,1,61,47,0
1,1,1,84,9,0
1,0,1,63,0,0
1,1,0,46,0,0
1,0,1,81,0,0
1,1,1,90,1,0
1,0,1,36,0,0
0,1,1,103,2,0
0,1,1,75,2,0
0,0,0,62,0,0
0,1,1,94,65,0
0,0,1,83,5,0
0,1,1,79,0,0
0,0,1,67,0,0
0,1,1,81,19,0
0,0,1,93,24,0
1,0,1,51,0,0
1,1,0,87,156,0
1,1,0,65,0,0
0,0,1,91,9,0
0,1,1,89,17,0
0,0,1,78,10,0
0,1,0,96,0,0
1,1,0,66,50,0
1,0,0,51,0,0
1,1,0,59,3,0
1,0,0,77,0,0
0,1,1,72,3,0
1,0,0,80,0,0
1,1,1,96,0,0
1,0,0,42,0,0
1,0,1,87,3,0
0,0,1,66,1,0
0,0,1,72,0,0
1,0,0,80,98,0
0,0,1,95,0,0
1,0,1,73,0,0
0,1,1,75,1,0
1,0,1,92,58,0
1,0,0,69,6,0
0,1,0,59,0,0
1,0,1,86,25,0
0,0,1,81,5,0
0,1,1,74,23,0
0,1,1,91,16,0
1,0,1,50,0,0
0,1,1,78,7,0
1,0,0,87,0,0
1,0,0,75,57,0
0,1,1,73,1,0
0,1,1,65,13,0
0,1,1,95,0,0
1,0,0,68,0,0
1,1,1,100,0,0
0,0,1,67,27,0
1,1,1,92,10,0
0,1,1,90,2,0
1,0,0,86,0,0
0,1,1,75,5,0
0,1,0,83,3,0
0,1,1,86,38,0
0,1,0,95,10,0
0,1,1,87,100,0
1,0,0,69,0,0
1,0,1,68,0,0
0,1,0,61,13,0
0,0,1,82,1,0
0,1,1,89,67,0
0,0,1,64,2,0
0,1,0,77,5,0
0,1,1,81,0,0
0,0,1,83,20,0
1,0,1,67,18,0
0,1,0,88,1,0
0,0,1,47,3,0
1,0,1,94,26,0
0,1,1,53,0,0
